"","x"
"1","NumCI"
"2","NumDR"
"3","NumECI"
"4","NumEA"
"5","NumHV"
"6","NumPS"
"7","NumSCI"
"8","NumSR"
"9","NumUNK"
"10","CI.1900"
"11","CI.1930"
"12","CI.1935"
"13","CI.1940"
"14","CI.1945"
"15","DR.1945"
"16","PS.1945"
"17","CI.1950"
"18","DR.1950"
"19","PS.1950"
"20","CI.1955"
"21","DR.1955"
"22","PS.1955"
"23","CI.1960"
"24","DR.1960"
"25","PS.1960"
"26","CI.1965"
"27","DR.1965"
"28","HV.1965"
"29","PS.1965"
"30","CI.1970"
"31","DR.1970"
"32","HV.1970"
"33","PS.1970"
"34","CI.1975"
"35","DR.1975"
"36","PS.1975"
"37","CI.1980"
"38","DR.1980"
"39","CI.1985"
"40","CI.AsiaPacific"
"41","DR.AsiaPacific"
"42","PS.AsiaPacific"
"43","CI.Australia"
"44","DR.Australia"
"45","ECI.Australia"
"46","HV.Australia"
"47","PS.Australia"
"48","CI.EasternEurope"
"49","CI.GreatBritain"
"50","DR.GreatBritain"
"51","PS.GreatBritain"
"52","CI.MiddleEastandAfrica"
"53","CI.NewZealand"
"54","PS.NewZealand"
"55","CI.NorthAmerica"
"56","CI.SouthAfrica"
"57","PS.SouthAfrica"
"58","CI.TheAmericas"
"59","PS.TheAmericas"
"60","CI.WesternEurope"
"61","CI.English"
"62","DR.English"
"63","PS.English"
"64","CI.OtherLang"
"65","CI.PhD"
"66","DR.PhD"
"67","ECI.PhD"
"68","PS.PhD"
"69","Success.CI"
"70","Unsuccess.CI"
"71","Success.DR"
"72","Unsuccess.DR"
"73","Success.PS"
"74","Unsuccess.PS"
"75","Unsuccess.HV"
"76","CI.Dept1033"
"77","PS.Dept1033"
"78","CI.Dept1038"
"79","PS.Dept1038"
"80","CI.Dept1098"
"81","DR.Dept1098"
"82","CI.Dept118"
"83","CI.Dept1258"
"84","CI.Dept1428"
"85","CI.Dept1528"
"86","CI.Dept1578"
"87","CI.Dept1623"
"88","CI.Dept1663"
"89","CI.Dept1678"
"90","CI.Dept1798"
"91","CI.Dept188"
"92","CI.Dept1998"
"93","CI.Dept2053"
"94","CI.Dept2103"
"95","DR.Dept2103"
"96","CI.Dept2153"
"97","DR.Dept2153"
"98","CI.Dept2163"
"99","DR.Dept2163"
"100","CI.Dept2178"
"101","CI.Dept2253"
"102","CI.Dept2498"
"103","PS.Dept2498"
"104","CI.Dept2518"
"105","CI.Dept2523"
"106","DR.Dept2523"
"107","PS.Dept2523"
"108","CI.Dept2533"
"109","PS.Dept2533"
"110","CI.Dept2538"
"111","DR.Dept2538"
"112","CI.Dept2543"
"113","CI.Dept2548"
"114","DR.Dept2548"
"115","CI.Dept2553"
"116","PS.Dept2553"
"117","CI.Dept2558"
"118","PS.Dept2558"
"119","CI.Dept2563"
"120","PS.Dept2563"
"121","CI.Dept2568"
"122","CI.Dept2578"
"123","CI.Dept2603"
"124","PS.Dept2603"
"125","CI.Dept2628"
"126","PS.Dept2628"
"127","CI.Dept2653"
"128","PS.Dept2653"
"129","CI.Dept2668"
"130","PS.Dept2668"
"131","CI.Dept2678"
"132","DR.Dept2678"
"133","PS.Dept2678"
"134","CI.Dept2713"
"135","DR.Dept2713"
"136","PS.Dept2713"
"137","CI.Dept2728"
"138","PS.Dept2728"
"139","CI.Dept2738"
"140","CI.Dept2763"
"141","PS.Dept2763"
"142","CI.Dept2768"
"143","CI.Dept2773"
"144","CI.Dept2778"
"145","CI.Dept28"
"146","CI.Dept2813"
"147","PS.Dept2813"
"148","CI.Dept2828"
"149","HV.Dept2828"
"150","CI.Dept2838"
"151","CI.Dept2848"
"152","CI.Dept2853"
"153","CI.Dept2878"
"154","PS.Dept2878"
