"","x"
"1","NumCI"
"2","NumDR"
"3","NumECI"
"4","NumPS"
"5","NumSCI"
"6","NumSR"
"7","NumUNK"
"8","CI.1940"
"9","CI.1945"
"10","CI.1950"
"11","CI.1955"
"12","DR.1955"
"13","PS.1955"
"14","CI.1960"
"15","PS.1960"
"16","CI.1965"
"17","PS.1965"
"18","CI.1970"
"19","CI.1975"
"20","CI.1980"
"21","CI.AsiaPacific"
"22","CI.Australia"
"23","DR.Australia"
"24","PS.Australia"
"25","CI.EasternEurope"
"26","CI.GreatBritain"
"27","CI.MiddleEastandAfrica"
"28","CI.NewZealand"
"29","CI.NorthAmerica"
"30","CI.SouthAfrica"
"31","CI.TheAmericas"
"32","CI.WesternEurope"
"33","CI.English"
"34","DR.English"
"35","PS.English"
"36","CI.OtherLang"
"37","CI.PhD"
"38","DR.PhD"
"39","PS.PhD"
"40","Success.CI"
"41","Unsuccess.CI"
"42","Success.DR"
"43","Success.PS"
"44","Unsuccess.PS"
"45","CI.Dept1033"
"46","CI.Dept1038"
"47","CI.Dept1098"
"48","CI.Dept1258"
"49","CI.Dept2053"
"50","CI.Dept2103"
"51","CI.Dept2153"
"52","CI.Dept2163"
"53","CI.Dept2178"
"54","CI.Dept2253"
"55","CI.Dept2498"
"56","CI.Dept2523"
"57","CI.Dept2533"
"58","CI.Dept2538"
"59","CI.Dept2553"
"60","CI.Dept2558"
"61","CI.Dept2563"
"62","CI.Dept2578"
"63","CI.Dept2603"
"64","CI.Dept2628"
"65","CI.Dept2653"
"66","CI.Dept2668"
"67","CI.Dept2678"
"68","PS.Dept2678"
"69","CI.Dept2713"
"70","CI.Dept2728"
"71","CI.Dept2763"
"72","CI.Dept2768"
"73","CI.Dept2813"
"74","CI.Dept2828"
"75","CI.Dept2853"
"76","CI.Dept2893"
"77","CI.Dept2923"
"78","CI.Dept3028"
"79","CI.Dept3048"
"80","CI.Dept3098"
"81","CI.Dept3123"
"82","CI.Dept3198"
"83","CI.Dept3258"
"84","CI.Dept3268"
"85","CI.Dept528"
"86","CI.Dept593"
"87","CI.Dept653"
"88","CI.Dept803"
"89","CI.Dept828"
"90","CI.Faculty1"
"91","CI.Faculty13"
"92","CI.Faculty19"
"93","CI.Faculty22"
"94","CI.Faculty25"
"95","DR.Faculty25"
"96","PS.Faculty25"
"97","CI.Faculty31"
"98","PS.Faculty31"
"99","CI.Faculty34"
"100","CI.Faculty4"
"101","CI.Faculty46"
"102","CI.Faculty7"
"103","Duration0to5"
"104","Duration10to15"
"105","Duration5to10"
"106","DurationGT15"
"107","DurationLT0"
"108","DurationUnk"
"109","Astar.CI"
"110","A.CI"
"111","B.CI"
"112","C.CI"
"113","Astar.PS"
"114","A.PS"
"115","C.PS"
"116","AstarTotal"
"117","ATotal"
"118","BTotal"
"119","CTotal"
"120","RFCD250103"
"121","RFCD270103"
"122","RFCD270106"
"123","RFCD270199"
"124","RFCD270201"
"125","RFCD270299"
"126","RFCD270603"
"127","RFCD270708"
"128","RFCD320202"
"129","RFCD320305"
"130","RFCD320502"
"131","RFCD320602"
"132","RFCD320701"
"133","RFCD320702"
"134","RFCD320799"
"135","RFCD320899"
"136","RFCD321003"
"137","RFCD321004"
"138","RFCD321006"
"139","RFCD321010"
"140","RFCD321013"
"141","RFCD321014"
"142","RFCD321015"
"143","RFCD321016"
"144","RFCD321021"
"145","RFCD321024"
"146","RFCD321028"
"147","RFCD321029"
"148","RFCD321202"
"149","RFCD321204"
"150","RFCD321206"
"151","RFCD321208"
"152","RFCD321216"
"153","RFCD321299"
"154","RFCD380103"
"155","RFCD430101"
"156","SEO670401"
"157","SEO670403"
"158","SEO671401"
"159","SEO700103"
"160","SEO730101"
"161","SEO730102"
